"~id","~start_node_id","~end_node_id","~relationship_type"
"5:f75dc485-148f-4285-919b-c89869e3b900:1161928703861588069","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:128","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1168684103302643813","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:129","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1170935903116329061","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:130","USES"
"5:f75dc485-148f-4285-919b-c89869e3b900:1152932499723124837","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:69","ACTIVE_IN"
"5:f75dc485-148f-4285-919b-c89869e3b900:1155184299536810085","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:79","ACTIVE_IN"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917540022757359726","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:110","ACTIVE_IN"
"5:f75dc485-148f-4285-919b-c89869e3b900:1157436099350495333","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:111","ACTIVE_IN"
"5:f75dc485-148f-4285-919b-c89869e3b900:1159687899164180581","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:112","ACTIVE_IN"
"5:f75dc485-148f-4285-919b-c89869e3b900:1161939698977865829","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:113","ACTIVE_IN"
"5:f75dc485-148f-4285-919b-c89869e3b900:1164191498791551077","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:114","ACTIVE_IN"
"5:f75dc485-148f-4285-919b-c89869e3b900:1166443298605236325","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:115","ACTIVE_IN"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917541122268987523","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:131","CONDUCTED"
